Date,Price
05/07/2025,"80,775.15"
05/06/2025,"80,700.55"
05/05/2025,"81,059.60"
05/02/2025,"80,652.05"
04/30/2025,"80,419.75"
04/29/2025,"80,474.00"
04/28/2025,"80,202.10"
04/25/2025,"79,116.10"
04/24/2025,"79,829.25"
04/23/2025,"80,139.70"
04/22/2025,"79,613.15"
04/21/2025,"79,460.85"
04/17/2025,"78,559.90"
04/16/2025,"77,059.20"
04/15/2025,"76,817.10"
04/11/2025,"75,473.20"
04/09/2025,"74,150.10"
04/08/2025,"74,670.90"
04/07/2025,"73,492.30"
04/04/2025,"75,673.40"
04/03/2025,"76,604.70"
04/02/2025,"76,971.40"
04/01/2025,"76,701.65"
03/28/2025,"77,922.50"
03/27/2025,"78,256.60"
03/26/2025,"78,021.50"
03/25/2025,"78,741.25"
03/24/2025,"78,099.15"
03/21/2025,"76,992.75"
03/20/2025,"76,446.10"
03/19/2025,"75,620.25"
03/18/2025,"75,431.80"
03/17/2025,"74,335.70"
03/13/2025,"74,011.60"
03/12/2025,"74,236.70"
03/11/2025,"74,419.40"
03/10/2025,"74,298.05"
03/07/2025,"74,649.35"
03/06/2025,"74,532.95"
03/05/2025,"74,069.60"
03/04/2025,"73,371.60"
03/03/2025,"73,659.60"
02/28/2025,"73,835.30"
02/27/2025,"75,235.90"
02/25/2025,"75,314.85"
02/24/2025,"74,687.00"
02/21/2025,"75,441.65"
02/20/2025,"75,863.15"
02/19/2025,"76,021.60"
02/18/2025,"76,085.50"
02/17/2025,"76,214.30"
02/14/2025,"76,209.35"
02/13/2025,"76,397.95"
02/12/2025,"76,480.40"
02/11/2025,"76,637.90"
02/10/2025,"77,600.15"
02/07/2025,"78,085.30"
02/06/2025,"78,335.50"
02/05/2025,"78,595.30"
02/04/2025,"78,667.95"
02/03/2025,"77,483.75"
02/01/2025,"77,857.30"
01/31/2025,"78,144.65"
01/30/2025,"77,424.55"
01/29/2025,"77,200.00"
01/28/2025,"76,684.55"
01/27/2025,"75,439.45"
01/24/2025,"76,229.25"
01/23/2025,"76,592.20"
01/22/2025,"76,473.20"
01/21/2025,"76,159.00"
01/20/2025,"77,316.90"
01/17/2025,"76,826.10"
01/16/2025,"77,230.00"
01/15/2025,"76,928.85"
01/14/2025,"76,897.15"
01/13/2025,"76,649.50"
01/10/2025,"77,688.00"
01/09/2025,"78,088.05"
01/08/2025,"78,522.85"
01/07/2025,"78,548.15"
01/06/2025,"78,448.85"
01/03/2025,"79,770.25"
01/02/2025,"80,409.50"
01/01/2025,"79,250.75"
12/31/2024,"78,936.65"
12/30/2024,"79,108.30"
12/27/2024,"78,699.07"
12/26/2024,"78,550.35"
12/24/2024,"78,662.30"
12/23/2024,"78,672.95"
12/20/2024,"78,275.15"
12/19/2024,"79,414.20"
12/18/2024,"80,441.80"
12/17/2024,"81,063.05"
12/16/2024,"81,992.75"
12/13/2024,"82,250.55"
12/12/2024,"81,632.90"
12/11/2024,"81,821.70"
12/10/2024,"81,776.90"
12/09/2024,"81,784.75"
12/06/2024,"82,023.60"
12/05/2024,"81,994.40"
12/04/2024,"81,274.35"
12/03/2024,"81,239.15"
12/02/2024,"80,790.70"
11/29/2024,"79,802.79"
11/28/2024,"79,108.80"
11/27/2024,"80,325.35"
11/26/2024,"80,078.05"
11/25/2024,"80,214.70"
11/22/2024,"79,036.70"
11/21/2024,"77,143.15"
11/19/2024,"77,641.85"
11/18/2024,"77,594.60"
11/14/2024,"77,878.50"
11/13/2024,"78,050.15"
11/12/2024,"79,019.30"
11/11/2024,"79,949.35"
11/08/2024,"79,866.75"
11/07/2024,"80,041.20"
11/06/2024,"80,813.50"
11/05/2024,"79,853.40"
11/04/2024,"79,443.05"
11/01/2024,"80,126.15"
10/31/2024,"80,301.65"
10/30/2024,"80,790.35"
10/29/2024,"81,110.45"
10/28/2024,"80,554.65"
10/25/2024,"79,402.29"
10/24/2024,"80,172.25"
10/23/2024,"80,164.15"
10/22/2024,"80,348.00"
10/21/2024,"81,111.25"
10/18/2024,"81,460.15"
10/17/2024,"81,182.75"
10/16/2024,"81,714.50"
10/15/2024,"81,880.00"
10/14/2024,"82,235.35"
10/11/2024,"81,746.60"
10/10/2024,"81,926.40"
10/09/2024,"81,846.10"
10/08/2024,"81,999.95"
10/07/2024,"81,700.00"
10/04/2024,"82,288.85"
10/03/2024,"83,203.35"
10/01/2024,"84,823.10"
09/30/2024,"84,837.45"
09/27/2024,"85,571.85"
09/26/2024,"85,752.60"
09/25/2024,"85,091.55"
09/24/2024,"84,877.20"
09/23/2024,"84,795.25"
09/20/2024,"84,292.30"
09/19/2024,"83,436.90"
09/18/2024,"82,958.55"
09/17/2024,"83,188.25"
09/16/2024,"83,127.70"
09/13/2024,"82,942.15"
09/12/2024,"82,894.45"
09/11/2024,"81,690.85"
09/10/2024,"82,075.15"
09/09/2024,"81,693.30"
09/06/2024,"81,467.35"
09/05/2024,"82,425.75"
09/04/2024,"82,349.55"
09/03/2024,"82,669.75"
09/02/2024,"82,626.65"
08/30/2024,"82,365.77"
08/29/2024,"82,169.80"
08/28/2024,"81,803.10"
08/27/2024,"81,734.00"
08/26/2024,"81,792.70"
08/23/2024,"81,171.40"
08/22/2024,"81,161.50"
08/21/2024,"80,987.80"
08/20/2024,"80,835.45"
08/19/2024,"80,530.40"
08/16/2024,"80,455.60"
08/14/2024,"79,311.60"
08/13/2024,"79,268.85"
08/12/2024,"79,725.85"
08/09/2024,"79,943.90"
08/08/2024,"79,231.15"
08/07/2024,"79,798.25"
08/06/2024,"79,093.60"
08/05/2024,"79,098.95"
08/02/2024,"81,025.65"
08/01/2024,"81,862.55"
07/31/2024,"81,809.70"
07/30/2024,"81,612.35"
07/29/2024,"81,428.20"
07/26/2024,"81,332.72"
07/25/2024,"80,038.15"
07/24/2024,"80,165.90"
07/23/2024,"80,418.95"
07/22/2024,"80,557.45"
07/19/2024,"80,655.65"
07/18/2024,"81,375.80"
07/16/2024,"80,770.75"
07/15/2024,"80,778.50"
07/12/2024,"80,510.20"
07/11/2024,"80,107.60"
07/10/2024,"80,043.50"
07/09/2024,"80,383.65"
07/08/2024,"80,030.90"
07/05/2024,"80,036.00"
07/04/2024,"80,028.30"
07/03/2024,"79,948.80"
07/02/2024,"79,510.10"
07/01/2024,"79,449.90"
06/28/2024,"79,032.73"
06/27/2024,"79,267.35"
06/26/2024,"78,577.25"
06/25/2024,"77,934.60"
06/24/2024,"77,337.90"
06/21/2024,"77,172.45"
06/20/2024,"77,485.35"
06/19/2024,"77,295.55"
06/18/2024,"77,297.10"
06/14/2024,"76,888.85"
06/13/2024,"76,888.85"
06/12/2024,"76,750.00"
06/11/2024,"76,641.70"
06/10/2024,"76,557.10"
06/07/2024,"76,640.75"
06/06/2024,"75,398.05"
06/05/2024,"74,681.60"
06/04/2024,"72,545.35"
06/03/2024,"76,979.70"
05/31/2024,"73,961.31"
05/30/2024,"74,002.50"
05/29/2024,"74,727.55"
05/28/2024,"75,402.80"
05/27/2024,"75,454.60"
05/24/2024,"75,557.00"
05/23/2024,"75,456.20"
05/22/2024,"74,407.45"
05/21/2024,"74,150.00"
05/17/2024,"74,009.45"
05/16/2024,"73,859.05"
05/15/2024,"73,330.00"
05/14/2024,"73,495.00"
05/13/2024,"73,213.00"
05/10/2024,"73,113.70"
05/09/2024,"73,027.75"
05/08/2024,"73,817.00"
05/07/2024,"73,900.00"
05/06/2024,"74,323.90"
05/03/2024,"74,410.00"
05/02/2024,"75,033.50"
04/30/2024,"75,033.50"
04/29/2024,"75,013.75"
04/26/2024,"73,730.16"
04/25/2024,"74,350.55"
04/24/2024,"73,927.25"
04/23/2024,"73,784.45"
04/22/2024,"73,720.15"
04/19/2024,"73,077.15"
04/18/2024,"72,710.85"
04/16/2024,"73,116.25"
04/15/2024,"73,654.65"
04/12/2024,"74,527.70"
04/10/2024,"75,519.95"
04/09/2024,"75,038.95"
04/08/2024,"74,900.00"
04/05/2024,"74,569.55"
04/04/2024,"74,500.00"
04/03/2024,"74,285.00"
04/02/2024,"74,300.00"
04/01/2024,"74,304.75"
03/28/2024,"73,651.35"
03/27/2024,"73,088.25"
03/26/2024,"72,752.05"
03/22/2024,"73,049.05"
03/21/2024,"72,934.95"
03/20/2024,"72,366.30"
03/19/2024,"72,252.20"
03/18/2024,"72,955.10"
03/15/2024,"72,972.80"
03/14/2024,"73,500.00"
03/13/2024,"73,000.00"
03/12/2024,"74,040.00"
03/11/2024,"73,950.00"
03/07/2024,"74,115.00"
03/06/2024,"74,486.45"
03/05/2024,"73,850.00"
03/04/2024,"73,995.00"
03/01/2024,"73,829.90"
02/29/2024,"72,876.70"
02/28/2024,"73,128.75"
02/27/2024,"73,501.90"
02/26/2024,"73,408.50"
02/23/2024,"73,142.80"
02/22/2024,"73,179.30"
02/21/2024,"72,604.40"
02/20/2024,"73,010.85"
02/19/2024,"72,718.50"
02/16/2024,"72,461.80"
02/15/2024,"72,283.95"
02/14/2024,"72,034.00"
02/13/2024,"71,673.35"
02/12/2024,"71,249.25"
02/09/2024,"71,793.90"
02/08/2024,"71,702.30"
02/07/2024,"72,400.00"
02/06/2024,"72,442.00"
02/05/2024,"72,034.25"
02/02/2024,"72,312.05"
02/01/2024,"72,083.35"
01/31/2024,"72,201.95"
01/30/2024,"71,837.70"
01/29/2024,"72,274.95"
01/25/2024,"70,700.67"
01/24/2024,"71,160.25"
01/23/2024,"70,290.30"
01/19/2024,"71,860.15"
01/18/2024,"71,472.80"
01/17/2024,"71,615.20"
01/16/2024,"73,137.55"
01/15/2024,"73,431.35"
01/12/2024,"72,747.05"
01/11/2024,"71,862.15"
01/10/2024,"71,401.00"
01/09/2024,"72,250.00"
01/08/2024,"71,890.00"
01/05/2024,"72,299.05"
01/04/2024,"72,279.85"
01/03/2024,"71,726.70"
01/02/2024,"72,225.05"
01/01/2024,"72,600.00"
12/29/2023,"72,240.26"
12/28/2023,"72,477.00"
12/27/2023,"72,201.90"
12/26/2023,"71,448.80"
12/22/2023,"71,303.75"
12/21/2023,"71,247.90"
12/20/2023,"70,711.35"
12/19/2023,"71,569.40"
12/18/2023,"71,425.00"
12/15/2023,"71,388.95"
12/14/2023,"70,710.10"
12/13/2023,"69,790.80"
12/12/2023,"69,770.05"
12/11/2023,"70,161.70"
12/08/2023,"70,097.35"
12/07/2023,"69,805.10"
12/06/2023,"69,950.60"
12/05/2023,"69,200.00"
12/04/2023,"69,184.20"
12/01/2023,"67,831.50"
11/30/2023,"67,348.65"
11/29/2023,"67,274.10"
11/28/2023,"66,554.65"
11/24/2023,"65,970.04"
11/23/2023,"66,097.65"
11/22/2023,"66,167.75"
11/21/2023,"66,009.00"
11/20/2023,"65,799.75"
11/17/2023,"65,961.95"
11/16/2023,"66,064.45"
11/15/2023,"65,757.75"
11/13/2023,"65,066.10"
11/10/2023,"65,072.95"
11/09/2023,"65,012.30"
11/08/2023,"65,168.15"
11/07/2023,"65,449.00"
11/06/2023,"65,175.30"
11/03/2023,"64,614.25"
11/02/2023,"64,342.10"
11/01/2023,"63,862.35"
10/31/2023,"64,100.00"
10/30/2023,"64,409.75"
10/27/2023,"63,782.80"
10/26/2023,"63,237.95"
10/25/2023,"64,139.20"
10/23/2023,"64,580.35"
10/20/2023,"65,283.35"
10/19/2023,"65,673.55"
10/18/2023,"65,987.65"
10/17/2023,"66,436.35"
10/16/2023,"66,936.00"
10/13/2023,"66,400.00"
10/12/2023,"66,592.85"
10/11/2023,"66,670.05"
10/10/2023,"65,500.10"
10/09/2023,"65,500.10"
10/06/2023,"65,201.00"
10/05/2023,"65,899.10"
10/04/2023,"65,504.05"
10/03/2023,"65,010.00"
09/29/2023,"65,828.41"
09/28/2023,"65,542.55"
09/27/2023,"66,163.20"
09/26/2023,"66,016.65"
09/25/2023,"66,093.75"
09/22/2023,"66,142.00"
09/21/2023,"66,354.75"
09/20/2023,"67,021.10"
09/18/2023,"67,561.75"
09/15/2023,"68,014.50"
09/14/2023,"67,706.55"
09/13/2023,"67,666.90"
09/12/2023,"67,432.80"
09/11/2023,"67,350.90"
09/08/2023,"66,858.10"
09/07/2023,"66,535.70"
09/06/2023,"66,161.30"
09/05/2023,"66,072.85"
09/04/2023,"65,932.25"
09/01/2023,"65,726.60"
08/31/2023,"65,180.05"
08/30/2023,"65,449.35"
08/29/2023,"65,449.95"
08/28/2023,"65,382.40"
08/25/2023,"64,886.51"
08/24/2023,"65,267.80"
08/23/2023,"65,451.95"
08/22/2023,"65,242.70"
08/21/2023,"65,228.60"
08/18/2023,"65,016.00"
08/17/2023,"65,215.50"
08/16/2023,"65,544.40"
08/14/2023,"65,200.00"
08/11/2023,"66,501.00"
08/10/2023,"65,870.65"
08/09/2023,"66,191.40"
08/08/2023,"66,053.85"
08/07/2023,"66,173.40"
08/04/2023,"65,701.00"
08/03/2023,"66,063.15"
08/02/2023,"66,063.15"
08/01/2023,"66,754.90"
07/31/2023,"66,835.95"
07/28/2023,"66,160.20"
07/27/2023,"66,319.75"
07/26/2023,"66,693.35"
07/25/2023,"66,421.20"
07/24/2023,"66,501.60"
07/21/2023,"66,828.90"
07/20/2023,"67,607.45"
07/19/2023,"67,169.55"
07/18/2023,"66,756.30"
07/17/2023,"66,484.85"
07/14/2023,"66,232.15"
07/13/2023,"65,741.00"
07/12/2023,"65,587.70"
07/11/2023,"65,824.45"
07/10/2023,"65,562.05"
07/07/2023,"65,534.50"
07/06/2023,"66,053.80"
07/05/2023,"65,724.95"
07/04/2023,"65,770.30"
07/03/2023,"65,507.20"
06/30/2023,"64,718.56"
06/28/2023,"63,926.30"
06/27/2023,"63,402.90"
06/26/2023,"63,081.05"
06/23/2023,"63,117.60"
06/22/2023,"63,450.05"
06/21/2023,"63,604.00"
06/20/2023,"63,390.90"
06/19/2023,"63,010.00"
06/16/2023,"63,548.90"
06/15/2023,"63,092.40"
06/14/2023,"63,415.90"
06/13/2023,"63,100.00"
06/12/2023,"62,933.85"
06/09/2023,"62,869.35"
06/08/2023,"63,104.85"
06/07/2023,"63,412.10"
06/06/2023,"63,072.15"
06/05/2023,"63,078.40"
06/02/2023,"62,871.80"
06/01/2023,"62,764.25"
05/31/2023,"62,970.65"
05/30/2023,"63,331.15"
05/29/2023,"63,219.40"
05/26/2023,"62,501.69"
05/25/2023,"61,876.50"
05/24/2023,"61,843.25"
05/23/2023,"62,055.05"
05/22/2023,"62,011.25"
05/19/2023,"61,784.45"
05/18/2023,"61,522.65"
05/17/2023,"61,663.15"
05/16/2023,"62,047.10"
05/15/2023,"62,472.65"
05/12/2023,"62,177.20"
05/11/2023,"62,065.00"
05/10/2023,"62,112.25"
05/09/2023,"61,944.35"
05/08/2023,"61,958.75"
05/05/2023,"61,280.55"
05/04/2023,"61,989.55"
05/03/2023,"61,442.75"
05/02/2023,"61,616.20"
04/28/2023,"61,418.35"
04/27/2023,"60,649.38"
